policy,panel,horizon,code,affected_weeks,incremental_without_ticker
deep_pullback,all_entries,w1,GFS,3,0.0007484566143327609
deep_pullback,all_entries,w1,GHC,10,0.0007365732275901269
deep_pullback,all_entries,w1,GHM,9,0.0007333878893895084
deep_pullback,all_entries,w1,GHRS,2,0.0007372316787438847
deep_pullback,all_entries,w1,GIII,1,0.0007373527251213525
deep_pullback,all_entries,w1,GKOS,12,0.0007411719796796379
deep_pullback,all_entries,w1,GL,6,0.0007395698946560816
deep_pullback,all_entries,w1,GLBE,5,0.0007425260006412606
deep_pullback,all_entries,w1,GLP,5,0.0007475117332757201
deep_pullback,all_entries,w1,GLW,12,0.0007320895353367309
deep_pullback,all_entries,w1,GLXY,2,0.0007378064715765626
deep_pullback,all_entries,w1,GMED,5,0.000740908752518536
deep_pullback,all_entries,w1,GOLF,10,0.0007392078202162128
deep_pullback,all_entries,w1,GOOG,11,0.0007363525871657826
deep_pullback,all_entries,w1,GPRE,2,0.0007381064233841036
deep_pullback,all_entries,w1,GRC,3,0.0007367190781753911
deep_pullback,all_entries,w1,GRDN,7,0.0007401041078630647
deep_pullback,all_entries,w1,GRMN,14,0.0007451583284669793
deep_pullback,all_entries,w1,GS,17,0.000732851334549914
deep_pullback,all_entries,w1,GSAT,3,0.000732285990981571
deep_pullback,all_entries,w1,GSBC,2,0.0007378456242301154
deep_pullback,all_entries,w1,GSK,4,0.0007383345568001924
deep_pullback,all_entries,w1,GSL,11,0.0007339416122059187
deep_pullback,all_entries,w1,GTES,4,0.0007368510138077435
deep_pullback,all_entries,w1,GTX,11,0.0007288881824312846
deep_pullback,all_entries,w1,GVA,7,0.0007357536333001713
deep_pullback,all_entries,w1,GWRE,9,0.0007409473830176807
deep_pullback,all_entries,w1,GWW,3,0.0007393299160690119
deep_pullback,all_entries,w1,H,3,0.0007439351421951168
deep_pullback,all_entries,w1,HAFC,4,0.0007372840128134511
deep_pullback,all_entries,w1,HALO,5,0.0007481010053334389
