policy,panel,quarter,horizon,role,snapshot_date,path_label,baseline_n,flagged_n,avoided_gross_loss,foregone_gross_gain,saved_cost,cash_delta_contribution
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-21,unresolved_3w,32,4,0.0009079838772918274,0.007647043645127842,0.0002,-0.006539059767836014
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-28,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-28,stop_first_3w,4,2,0.003955351684619934,0.0,9.090909090909092e-05,0.004046260775529025
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-28,fast_winner_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-28,unresolved_3w,36,4,-0.0,0.008488145261590342,0.00018181818181818183,-0.008306327079772162
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-05,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-05,stop_first_3w,18,3,0.008244958541015463,0.0,0.00016216216216216218,0.008407120703177626
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-05,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-05,unresolved_3w,19,1,0.0012641783894652623,0.0,5.405405405405406e-05,0.0013182324435193162
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-12,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-12,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-12,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-12,unresolved_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-19,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-19,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-19,fast_winner_3w,1,1,-0.0,0.0366732106085054,0.0002222222222222222,-0.036450988386283176
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-19,unresolved_3w,7,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-26,ambiguous_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-26,stop_first_3w,10,1,0.0033994354515672278,0.0,2.7777777777777776e-05,0.0034272132293450054
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-26,fast_winner_3w,9,6,-0.0,0.016527845884358062,0.00016666666666666666,-0.016361179217691396
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-04-26,unresolved_3w,52,5,0.0011196144366177182,0.005183910614145744,0.0001388888888888889,-0.003925407288639136
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-03,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-03,stop_first_3w,12,1,0.0004344389209003742,0.0,3.2258064516129034e-05,0.0004666969854165032
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-03,fast_winner_3w,3,2,-0.0,0.004097820895910653,6.451612903225807e-05,-0.004033304766878395
deep_pullback,all_entries,2024Q2,w4,PRIMARY,2024-05-03,unresolved_3w,47,9,-0.0,0.01884009498844396,0.0002903225806451613,-0.018549772407798797
