policy,panel,quarter,horizon,role,status,n,flagged_n,unknown_n,snapshot_weeks,matched_weeks,evidence_weeks,operational_cash_delta,cash_delta,cash_delta_gross,incremental_vs_random,stop_lift,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage
extended_vs_candidate,nonoverlap_w4,2025Q1,w1,PRIMARY,SUPPORTED,467,100,0,13,12,13,0.0067754781528177,0.0067754781528177,0.006347345025327581,0.0030651041850894437,0.02946556142984218,0.010040348044131188,0.003693003018803611,0.00042813312749011723,0.2140665637450586
extended_vs_candidate,nonoverlap_w4,2025Q1,w2,PRIMARY,SUPPORTED,467,100,0,13,12,13,-0.008608695697651426,-0.008608695697651426,-0.009036828825141547,-0.01282770371738928,0.02946556142984218,0.011910948253922232,0.020947777079063777,0.00042813312749011723,0.2140665637450586
extended_vs_candidate,nonoverlap_w4,2025Q1,w3,DIAGNOSTIC_ONLY,SUPPORTED,467,100,0,13,12,13,0.00506832969156893,0.00506832969156893,0.004640196564078816,-0.0022552660687709374,0.02946556142984218,0.014044631803860277,0.009404435239781463,0.00042813312749011723,0.2140665637450586
extended_vs_candidate,nonoverlap_w4,2025Q1,w4,PRIMARY,SUPPORTED,467,100,0,13,12,13,0.004965095074619386,0.004965095074619386,0.0045369619471292665,-0.0011173763964511705,0.02946556142984218,0.014127339985044908,0.009590378037915641,0.00042813312749011723,0.2140665637450586
deep_pullback_and_extended,all_entries,2025Q1,w1,PRIMARY,SUPPORTED,703,34,319,13,9,13,0.002394422817788693,0.002394422817788693,0.002312063903166853,0.0020525162437242147,0.14845788966836534,0.003656153062974987,0.0013440891598081332,8.23589146218383e-05,0.04117945731091914
deep_pullback_and_extended,all_entries,2025Q1,w2,PRIMARY,SUPPORTED,703,34,319,13,9,13,0.002871463089224607,0.002871463089224607,0.0027891041746027677,0.0015154556862494713,0.14845788966836534,0.004679677493303768,0.001890573318701,8.23589146218383e-05,0.04117945731091914
deep_pullback_and_extended,all_entries,2025Q1,w3,DIAGNOSTIC_ONLY,SUPPORTED,703,34,319,13,9,13,0.0044406890143822925,0.0044406890143822925,0.004358330099760451,0.0024866016497799926,0.14845788966836534,0.005280254624851705,0.0009219245250912528,8.23589146218383e-05,0.04117945731091914
deep_pullback_and_extended,all_entries,2025Q1,w4,PRIMARY,SUPPORTED,703,34,319,13,9,13,0.0028798794079817063,0.0028798794079817063,0.002797520493359865,0.0010615980062862627,0.14845788966836534,0.004404261256209128,0.0016067407628492629,8.23589146218383e-05,0.04117945731091914
deep_pullback_and_extended,nonoverlap_w4,2025Q1,w1,PRIMARY,SUPPORTED,467,26,223,13,8,13,0.00261672944242539,0.00261672944242539,0.0025111677638880005,0.0019176610316779233,0.12070429570429572,0.004266179300542876,0.0017550115366548763,0.00010556167853738705,0.05278083926869352
deep_pullback_and_extended,nonoverlap_w4,2025Q1,w2,PRIMARY,SUPPORTED,467,26,223,13,8,13,0.0037465942481115437,0.0037465942481115437,0.003641032569574157,0.001425714693157511,0.12070429570429572,0.005826927173844762,0.0021858946042706048,0.00010556167853738705,0.05278083926869352
deep_pullback_and_extended,nonoverlap_w4,2025Q1,w3,DIAGNOSTIC_ONLY,SUPPORTED,467,26,223,13,8,13,0.006344782696802965,0.006344782696802965,0.006239221018265581,0.0032230162365146234,0.12070429570429572,0.007401441818964751,0.0011622208006991698,0.00010556167853738705,0.05278083926869352
deep_pullback_and_extended,nonoverlap_w4,2025Q1,w4,PRIMARY,SUPPORTED,467,26,223,13,8,13,0.004433415886546169,0.004433415886546169,0.004327854208008783,0.0014980753545919866,0.12070429570429572,0.006391019331024007,0.002063165123015225,0.00010556167853738705,0.05278083926869352
high_pct_above_ceiling,all_entries,2025Q1,w1,PRIMARY,SUPPORTED,703,243,0,13,13,13,0.00512660710391835,0.00512660710391835,0.004500012338989109,0.0038305089940283586,0.1463724284609396,0.012410611174233322,0.007910598835244215,0.0006265947649292394,0.3132973824646197
