eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
no_eps,grid_sig_noeps_noind_def_keep_strict,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_keep_relaxed,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_nodry_strict,backtrader,10000.0,8.0,89,85,53,12362.709599999996,23.62709599999997,-17.0035768816698,100,3,37,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_nodry_relaxed,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_nogeom_strict,backtrader,10000.0,8.0,100,96,59,13843.076800000003,38.43076800000003,-19.78585385681475,113,7,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_nogeom_relaxed,backtrader,10000.0,8.0,106,102,61,14317.708800000004,43.17708800000004,-19.920964222031333,117,7,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_clean_strict,backtrader,10000.0,8.0,86,84,50,14230.805599999996,42.30805599999996,-17.00303520498655,83,2,36,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_def_clean_relaxed,backtrader,10000.0,8.0,106,102,60,15664.591200000004,56.645912000000045,-19.920964222031333,113,6,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_keep_strict,backtrader,10000.0,8.0,106,101,62,15670.192400000007,56.70192400000007,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_keep_relaxed,backtrader,10000.0,8.0,106,101,62,15670.192400000007,56.70192400000007,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_nodry_strict,backtrader,10000.0,8.0,89,86,53,13885.133199999997,38.85133199999997,-17.009784364016344,94,3,37,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_nodry_relaxed,backtrader,10000.0,8.0,106,101,62,15670.192400000007,56.70192400000007,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_nogeom_strict,backtrader,10000.0,8.0,100,97,60,14092.2396,40.922396000000006,-19.799106945488308,117,7,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_nogeom_relaxed,backtrader,10000.0,8.0,106,103,62,14877.371600000006,48.773716000000064,-19.92545397677269,119,6,40,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_clean_strict,backtrader,10000.0,8.0,86,85,51,14745.210399999996,47.45210399999997,-14.758864307386698,87,2,36,2025-10-24,2026-08-21
no_eps,grid_sig_noeps_noind_prox_clean_relaxed,backtrader,10000.0,8.0,106,103,61,15725.05520000001,57.250552000000084,-19.92545397677269,117,6,40,2025-10-24,2026-08-21
with_eps,skill_industry_eps_known,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,clean_eps_pass_no_dry_no_geom_caution,backtrader,10000.0,8.0,88,82,53,18198.789999999997,81.98789999999998,-6.608368436601408,113,2,38,2025-10-24,2026-08-21
with_eps,signal_core_quality_eps_pass,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,grid_act_noeps_ind_def_keep_strict,backtrader,10000.0,8.0,101,98,61,15311.3128,53.11312799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_ind_def_keep_relaxed,backtrader,10000.0,8.0,101,98,61,15311.3128,53.11312799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
